component	msgctxt	msgid	draft_msgstr	hard_terms
ecpg		"variable ""%s"" must have a numeric type"	"[REVIEW: untranslated] variable ""%s"" must have a numeric type"	
ecpg		nullable is always 1	[REVIEW: untranslated] nullable is always 1	
ecpg		key_member is always 0	[REVIEW: untranslated] key_member is always 0	
ecpg		"descriptor item ""%s"" is not implemented"	"[REVIEW: untranslated] descriptor item ""%s"" is not implemented"	
ecpg		%s is the PostgreSQL embedded SQL preprocessor for C programs.\n\n	[REVIEW: untranslated] %s is the PostgreSQL embedded SQL preprocessor for C programs.\n\n	
ecpg		  -c             automatically generate C code from embedded SQL code;\n                 this affects EXEC SQL TYPE\n	[REVIEW: untranslated]   -c             automatically generate C code from embedded SQL code;\n[REVIEW: untranslated]                  this affects EXEC SQL TYPE\n	
ecpg		"  -C MODE        set compatibility mode; MODE can be one of\n                 ""INFORMIX"", ""INFORMIX_SE"", ""ORACLE""\n"	"[REVIEW: untranslated]   -C MODE        set compatibility mode; MODE can be one of\n[REVIEW: untranslated]                  ""INFORMIX"", ""INFORMIX_SE"", ""ORACLE""\n"	
ecpg		  -d             generate parser debug output\n	[REVIEW: untranslated]   -d             generate parser debug output\n	
ecpg		  -D SYMBOL      define SYMBOL\n	[REVIEW: untranslated]   -D SYMBOL      define SYMBOL\n	
ecpg		  -o OUTFILE     write result to OUTFILE\n	[REVIEW: untranslated]   -o OUTFILE     write result to OUTFILE\n	
ecpg		"  -r OPTION      specify run-time behavior; OPTION can be:\n                 ""no_indicator"", ""prepare"", ""questionmarks""\n"	"[REVIEW: untranslated]   -r OPTION      specify run-time behavior; OPTION can be:\n[REVIEW: untranslated]                  ""no_indicator"", ""prepare"", ""questionmarks""\n"	
ecpg		  --regression   run in regression testing mode\n	[REVIEW: untranslated]   --regression   run in regression testing mode\n	
ecpg		  -t             turn on autocommit of transactions\n	[REVIEW: transaction; untranslated]   -t             turn on autocommit of transactions\n	transaction
ecpg		  -V, --version  output version information, then exit\n	[REVIEW: untranslated]   -V, --version  output version information, then exit\n	
ecpg		  -?, --help     show this help, then exit\n	[REVIEW: untranslated]   -?, --help     show this help, then exit\n	
ecpg		\nIf no output file is specified, the name is formed by adding .c to the\ninput file name, after stripping off .pgc if present.\n	\n[REVIEW: sentence] If no output फाइल is specified, the नाम is formed by adding .c to the\ninput फाइल नाम, after stripping off .pgc if present.\n	
ecpg		\nReport bugs to <%s>.\n	\n[REVIEW: untranslated] Report bugs to <%s>.\n	
ecpg		%s: parser debug support (-d) not available\n	[REVIEW: untranslated] %s: parser debug support (-d) not available\n	
ecpg		%s, the PostgreSQL embedded C preprocessor, version %s\n	[REVIEW: untranslated] %s, the PostgreSQL embedded C preprocessor, version %s\n	
ecpg		EXEC SQL INCLUDE ... search starts here:\n	[REVIEW: untranslated] EXEC SQL INCLUDE ... search starts here:\n	
ecpg		end of search list\n	[REVIEW: untranslated] end of search list\n	
