component	reference_po	entries	plural_entries	review_entries	placeholder_issues	draft_path
ecpg	po/de/ecpg.po	132	1	92	0	po/ecpg/ne.draft.ecpg.po
ecpglib	po/de/ecpglib.po	33	0	6	0	po/ecpglib/ne.draft.ecpglib.po
initdb	po/de/initdb.po	208	0	126	0	po/initdb/ne.draft.initdb.po
libpq	po/ka/libpq.po	379	1	167	0	po/libpq/ne.draft.libpq.po
pg_amcheck	po/de/pg_amcheck.po	119	0	76	0	po/pg_amcheck/ne.draft.pg_amcheck.po
pg_archivecleanup	po/de/pg_archivecleanup.po	30	0	18	0	po/pg_archivecleanup/ne.draft.pg_archivecleanup.po
pg_basebackup	po/de/pg_basebackup.po	494	5	346	0	po/pg_basebackup/ne.draft.pg_basebackup.po
pg_checksums	po/de/pg_checksums.po	75	0	44	0	po/pg_checksums/ne.draft.pg_checksums.po
pg_combinebackup	po/de/pg_combinebackup.po	178	0	95	0	po/pg_combinebackup/ne.draft.pg_combinebackup.po
pg_config	po/de/pg_config.po	46	0	22	0	po/pg_config/ne.draft.pg_config.po
pg_controldata	po/ja/pg_controldata.po	99	1	66	0	po/pg_controldata/ne.draft.pg_controldata.po
pg_ctl	po/de/pg_ctl.po	159	0	93	0	po/pg_ctl/ne.draft.pg_ctl.po
pg_dump	po/ja/pg_dump.po	617	7	383	0	po/pg_dump/ne.draft.pg_dump.po
pg_resetwal	po/ja/pg_resetwal.po	138	1	79	0	po/pg_resetwal/ne.draft.pg_resetwal.po
pg_rewind	po/de/pg_rewind.po	200	1	104	0	po/pg_rewind/ne.draft.pg_rewind.po
pg_test_fsync	po/de/pg_test_fsync.po	37	1	19	0	po/pg_test_fsync/ne.draft.pg_test_fsync.po
pg_test_timing	po/de/pg_test_timing.po	15	1	7	0	po/pg_test_timing/ne.draft.pg_test_timing.po
pg_upgrade	po/ja/pg_upgrade.po	344	0	221	0	po/pg_upgrade/ne.draft.pg_upgrade.po
pg_verifybackup	po/de/pg_verifybackup.po	161	0	86	0	po/pg_verifybackup/ne.draft.pg_verifybackup.po
pg_waldump	po/de/pg_waldump.po	109	2	69	0	po/pg_waldump/ne.draft.pg_waldump.po
pg_walsummary	po/de/pg_walsummary.po	30	0	9	0	po/pg_walsummary/ne.draft.pg_walsummary.po
pgscripts	po/de/pgscripts.po	234	2	157	0	po/pgscripts/ne.draft.pgscripts.po
plperl	po/de/plperl.po	42	0	30	0	po/plperl/ne.draft.plperl.po
plpgsql	po/de/plpgsql.po	174	1	124	0	po/plpgsql/ne.draft.plpgsql.po
plpython	po/pl/plpython.po	88	1	48	0	po/plpython/ne.draft.plpython.po
pltcl	po/de/pltcl.po	20	0	8	0	po/pltcl/ne.draft.pltcl.po
postgres	po/ja/postgres.po	6405	45	4744	0	po/postgres/ne.draft.postgres.po
postgresql-regress	po/es/postgresql-regress.po	28	0	22	0	po/postgresql-regress/ne.draft.postgresql-regress.po
psql	po/de/psql.po	1414	3	710	0	po/psql/ne.draft.psql.po
